 Case_ID      AeroDyn15       QBladeOcean  QBladeOcean  QBladeOcean          QSim             QSim       QSim          QSim            QSim     QSim   QTurbSim  
              tau1_const       PEAKPERIOD    RANDSEED    SIGHEIGHT      INITIAL_PITCH     INITIAL_YAW  MEANINF    RPMPRESCRIBED     STOREFROM   TMax  RandSeed1  
    0     85.43484808089515   9.788170598   304524126   1.589253312   4.638236266290508        0         3.0    3.3422538049298023    100.0    400.0  1501552846 
    1     52.66435542508281   9.788170598   1192975140  1.589253312   0.7798671185856514       0         5.0    3.3507436005471343    100.0    400.0  488200390  
    2     37.44281694694783   9.992163283   1668389755  1.796850486          0.0               0         7.0    4.426826231695103     100.0    400.0  1693606511 
    3     25.786282873517322  10.24618949   489172031   2.066758485   2.7267079294026204       0         9.0    5.691633726465131     100.0    400.0  680233354  
    4     20.575472860558897  10.39439939   349375909   2.2314929675  5.708605822131442        0         10.0   5.992162462908054     100.0    400.0  438466540  
    5     17.301896199845917  10.54260929   208787680    2.39622745   8.170958711763241        0         11.0   5.992162462908054     100.0    400.0  1712329281 
    6     13.766562630402836  10.87776655   426140584   2.785549752   11.605390584313048       0         13.0   5.992162462908054     100.0    400.0  1380152456 
    7     11.62509389968858   11.25141272    37937012   3.237992345   14.347289645281403       0         15.0   5.992162462908054     100.0    400.0  1452245847 
    8     10.106826202895528  11.66433667   1601914564  3.757419053   16.770657801082105       0         17.0   5.992162462908054     100.0    400.0  2122694022 
    9     8.959636355960647   12.11660442   1619243266  4.346083996   18.99374274622088        0         19.0   5.992162462908054     100.0    400.0  839901364  
    10     7.67930048157493   12.87190691   413287548   5.3680028525   22.0666931413866        0         22.0   5.992162462908054     100.0    400.0  1802651553 
    11     6.71198519947237   13.70255467   918595805   6.526989576   24.926506837862508       0         25.0   5.992162462908054     100.0    400.0  714712467  
