 Case_ID      AeroDyn15       QBladeOcean  QBladeOcean  QBladeOcean          QSim             QSim       QSim          QSim            QSim     QSim   QTurbSim  
              tau1_const       PEAKPERIOD    RANDSEED    SIGHEIGHT      INITIAL_PITCH     INITIAL_YAW  MEANINF    RPMPRESCRIBED     STOREFROM   TMax  RandSeed1  
    0     94.94320183290141   9.788170598   304524126   1.589253312   5.026225069170265        0         3.0    3.3422538049298023     10.0    110.0  1501552846 
    1     53.17658121839433   9.788170598   1192975140  1.589253312   2.4021458235468938       0         5.0    3.3422538049298023     10.0    110.0  488200390  
    2     41.56221333736923   9.992163283   1668389755  1.796850486          0.0               0         7.0    4.340589357051691      10.0    110.0  1693606511 
    3     27.398421375489942  10.24618949   489172031   2.066758485   2.9827264274401966       0         9.0    5.580757744780746      10.0    110.0  680233354  
    4     20.720691672677273  10.39439939   349375909   2.2314929675  7.005121107087234        0         10.0   5.670196615155993      10.0    110.0  438466540  
    5     17.525759585515356  10.54260929   208787680    2.39622745   9.422537659142728        0         11.0   5.670196615155993      10.0    110.0  1712329281 
    6     13.994454363196049  10.87776655   426140584   2.785549752   12.864303375125182       0         13.0   5.670196615155993      10.0    110.0  1380152456 
    7     11.832094450384771  11.25141272    37937012   3.237992345   15.637595896163871       0         15.0   5.670196615155993      10.0    110.0  1452245847 
    8     10.29338419129848   11.66433667   1601914564  3.757419053   18.096392290000303       0         17.0   5.670196615155993      10.0    110.0  2122694022 
    9     9.128466884920758   12.11660442   1619243266  4.346083996   20.35487587909557        0         19.0   5.670196615155993      10.0    110.0  839901364  
    10    7.826553538821509   12.87190691   413287548   5.3680028525  23.478309035644017       0         22.0   5.670196615155993      10.0    110.0  1802651553 
    11    6.842041816177607   13.70255467   918595805   6.526989576   26.384805636984535       0         25.0   5.670196615155993      10.0    110.0  714712467  
